id_center,id_left, id_right, angle,noise
10,11,1,0.771280419259263,4.71238898038469e-05
10,2,11,-5.564311464856088,4.71238898038469e-05
11,12,1,2.2603597134549225,4.71238898038469e-05
11,1,10,0.31474385229364693,4.71238898038469e-05
11,10,2,0.25076848130556373,4.71238898038469e-05
13,14,12,1.3360312310325266,4.71238898038469e-05
13,14,2,2.8738588335703894,4.71238898038469e-05
14,3,12,2.8841225476943033,4.71238898038469e-05
14,12,13,0.36141064672065926,4.71238898038469e-05
12,1,11,0.5364037765829768,4.71238898038469e-05
12,11,13,1.0502150204336145,4.71238898038469e-05
12,11,2,-0.19128518726841856,4.71238898038469e-05
2,13,11,0.23772756449498159,4.71238898038469e-05
2,11,1,1.2648246712283528,4.71238898038469e-05
2,1,10,0.9070295760423183,4.71238898038469e-05
1,10,2,0.7444176895518696,4.71238898038469e-05
1,2,11,1.3112866104637955,4.71238898038469e-05
1,11,12,-5.93826583710162,4.71238898038469e-05
